City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
395,kampong chhnang,20,KH,1549066273,73,12.25,104.67,70.62,3.29
396,fayaoue,100,NC,1549066273,100,-20.65,166.53,77.55,21.3
397,cabo san lucas,40,MX,1549064760,64,22.89,-109.91,75.2,6.93
398,baykit,32,RU,1549066274,67,61.68,96.39,-36.3,2.73
399,porto murtinho,8,BR,1549066274,54,-21.7,-57.88,88.4,4.29
400,kazerun,0,IR,1549066274,83,29.62,51.65,42.14,1.72
401,marathon,88,CA,1549066275,93,48.72,-86.38,10.19,11.23
402,ahar,20,IR,1549066275,69,38.48,47.07,13.92,2.62
403,buala,88,SB,1549066276,95,-8.15,159.59,81.56,10.0
404,umm kaddadah,0,SD,1549066276,30,13.6,26.69,62.75,10.11
405,carutapera,80,BR,1549066276,89,-1.2,-46.02,79.22,7.54
406,deputatskiy,32,RU,1549066277,0,69.3,139.9,-38.1,4.97
407,kulhudhuffushi,0,MV,1549066278,100,6.62,73.07,80.39,4.07
408,nisia floresta,20,BR,1549062000,74,-6.09,-35.21,82.4,16.11
409,lubango,48,AO,1549066279,98,-14.92,13.49,61.98,0.04
410,cejkovice,0,CZ,1549063800,86,48.91,16.94,39.2,14.99
411,saraza,8,PH,1549066280,93,8.74,117.78,76.65,6.76
412,rorvik,32,NO,1549066280,100,64.86,11.24,22.43,21.07
413,filingue,0,NE,1549066281,57,14.35,3.32,61.31,3.18
414,ilinge,12,ZA,1549066281,100,-31.98,27.04,55.64,1.72
415,moron,0,VE,1549066282,69,10.49,-68.2,70.58,3.06
416,el porvenir,40,HN,1549065600,78,15.75,-86.9,78.8,3.36
417,lincoln,68,GB,1549065000,86,53.23,-0.54,35.6,10.29
418,rio muerto,75,MX,1549064700,68,27.42,-110.23,69.8,3.36
419,pinega,76,RU,1549066284,91,64.7,43.39,15.68,2.73
420,valparaiso,1,US,1549065300,80,41.47,-87.06,19.4,5.82
421,trenggalek,0,ID,1549066284,87,-8.05,111.71,74.4,2.84
422,victoria,75,BN,1549063800,94,5.28,115.24,80.6,4.7
423,kavaratti,0,IN,1549066285,100,10.57,72.64,82.82,8.55
424,cap malheureux,75,MU,1549062000,78,-19.98,57.61,80.6,12.75
425,cairns,90,AU,1549063800,94,-16.92,145.77,80.6,11.41
426,vila velha,75,BR,1549062000,88,-3.71,-38.6,80.6,3.36
427,shasta lake,90,US,1549065300,93,40.68,-122.36,57.02,4.74
428,east london,88,ZA,1549066229,100,-33.02,27.91,71.93,15.26
429,ikwiriri,0,TZ,1549066287,99,-7.96,38.99,74.9,3.51
430,xingyi,0,CN,1549066287,81,24.19,102.82,48.75,6.42
431,alta floresta,88,BR,1549066288,85,-9.87,-56.08,78.45,3.4
432,bambanglipuro,8,ID,1549066288,97,-7.95,110.28,74.72,3.62
433,tavda,88,RU,1549066289,81,58.04,65.27,-4.49,8.21
434,seoul,90,KR,1549065600,85,37.57,126.98,32.0,1.12
435,the valley,40,AI,1549062000,69,18.22,-63.06,77.0,8.05
436,dongsheng,100,CN,1549066290,90,29.72,112.52,43.53,15.03
437,prainha,20,BR,1549066290,80,-1.8,-53.48,80.88,4.74
438,labuhan,64,ID,1549066290,96,-2.54,115.51,74.4,2.73
439,praxedis guerrero,75,MX,1549065060,37,31.37,-106.02,64.22,23.04
440,bogatoye,36,RU,1549066291,64,53.06,51.33,0.38,2.95
441,badnawar,0,IN,1549062000,62,23.02,75.23,57.2,9.17
442,seddon,12,NZ,1549066292,88,-41.67,174.07,62.21,8.77
443,ninh binh,80,VN,1549066292,97,20.25,105.97,62.12,3.4
444,newnan,1,US,1549065360,53,33.38,-84.8,59.0,5.19
445,khakurinokhabl,68,RU,1549066293,90,45.02,40.23,39.75,1.61
446,qaqortoq,80,GL,1549065000,79,60.72,-46.03,23.0,8.05
447,saint-leu,88,RE,1549063800,78,-21.15,55.28,78.8,10.29
448,koutiala,0,ML,1549066297,56,12.39,-5.46,68.28,3.4
449,rock sound,68,BS,1549066297,100,24.9,-76.2,74.58,23.76
450,sinaloa,75,MX,1549065420,49,32.55,-115.28,69.08,3.36
451,hirara,75,JP,1549062000,72,24.8,125.28,62.6,5.82
452,kurush,90,RU,1549062000,93,41.28,47.83,35.6,2.24
453,tilichiki,92,RU,1549066299,87,60.47,166.1,30.35,14.14
454,aktau,90,KZ,1549063800,100,43.65,51.16,35.6,11.18
455,auki,8,NG,1549066299,51,12.18,6.51,63.11,3.29
456,henties bay,56,NA,1549066300,100,-22.12,14.28,62.25,5.08
457,manyana,88,AU,1549066300,98,-35.26,150.51,71.93,8.55
458,lubao,90,PH,1549062000,78,14.94,120.6,75.2,2.24
459,barinas,0,VE,1549066301,66,8.64,-70.23,79.17,5.19
460,ilam,0,IR,1549062000,80,33.64,46.42,35.6,2.24
461,kailua,20,US,1549062660,84,21.39,-157.74,78.08,12.75
462,okha,80,RU,1549066302,94,53.59,142.95,9.92,30.69
463,whitianga,0,NZ,1549066302,94,-36.83,175.7,73.1,2.62
464,mindelo,40,PT,1549063800,93,41.31,-8.72,50.0,6.93
465,port hueneme,90,US,1549065480,77,34.15,-119.2,62.96,10.29
466,upernavik,0,GL,1549066153,100,72.79,-56.15,0.15,15.03
467,loano,75,IT,1549065000,86,44.13,8.26,42.8,8.05
468,yulara,0,AU,1549062000,35,-25.24,130.99,89.6,14.99
469,solnechnyy,0,RU,1549066304,66,50.72,136.64,-9.35,4.18
